post,year,annual_peak_cm,annual_peak_date,spring_peak_cm,spring_peak_date,spring_min_cm,spring_amplitude_cm,max_rise_7d_cm_day,max_fall_7d_cm_day,rise_start_date,days_from_rise_to_peak,days_above_p90,days_above_p95,p90_level_cm,p95_level_cm,annual_peak_cm_z,spring_peak_cm_z,spring_amplitude_cm_z,max_rise_7d_cm_day_z,days_above_p90_z,days_above_p95_z
Олёкминск,2015,876.0,2015-05-08,876.0,2015-05-08,47.0,829.0,110.42857142857143,-35.142857142857146,2015-05-06,2,33,15,602.6999999999998,700.0,-0.04839870027390118,0.09676782907127751,0.09345712583789119,0.6488731748113887,0.014041398907543263,-0.12659242088545833
Олёкминск,2016,868.0,2016-06-09,868.0,2016-06-09,9.0,859.0,66.28571428571429,-28.285714285714285,2016-05-08,32,24,12,602.6999999999998,700.0,-0.11723240733011621,0.03634694067555302,0.3188813489644629,-1.3277312467952072,-0.4914489617640142,-0.37977726265637496
Олёкминск,2017,846.0,2017-07-18,637.0,2017-05-31,19.0,618.0,53.142857142857146,-26.714285714285715,2017-05-11,20,11,5,602.6999999999998,700.0,-0.3065251017347075,-1.7083062117509917,-1.4920265768189964,-1.9162348286327697,-1.221601704956264,-0.9705418934551805
Олёкминск,2018,896.0,2018-07-18,847.0,2018-06-05,54.0,793.0,94.57142857142857,-42.0,2018-05-07,29,37,25,602.6999999999998,700.0,0.12368556736663636,-0.12225789136322378,-0.17705194191399487,-0.06116919023175761,0.23870378142823548,0.7173570516842638
Олёкминск,2019,756.0,2019-06-16,756.0,2019-06-16,38.0,718.0,73.85714285714286,-31.571428571428573,2019-05-11,36,18,8,602.6999999999998,700.0,-1.0809043061171264,-0.8095454968645899,-0.7406124997304241,-0.9887020094322636,-0.8284425355450525,-0.7173570516842638
Олёкминск,2020,751.0,2020-05-31,751.0,2020-05-31,59.0,692.0,78.14285714285714,-34.285714285714285,2020-05-04,27,38,7,602.6999999999998,700.0,-1.123925373027261,-0.8473085521119177,-0.935980159773453,-0.7967986675287109,0.29486937705840854,-0.801751998941236
Олёкминск,2021,786.0,2021-05-11,786.0,2021-05-11,63.0,723.0,100.71428571428571,-44.57142857142857,2021-05-09,2,31,9,602.6999999999998,700.0,-0.8227779046563202,-0.5829671653806231,-0.7030417958759955,0.21389226649666818,-0.09828979235280284,-0.6329621044272916
Олёкминск,2022,960.0,2022-05-20,960.0,2022-05-20,32.0,928.0,114.0,-25.142857142857142,2022-05-14,6,56,32,602.6999999999998,700.0,0.6743552238163565,0.7311871572263847,0.8373570621555778,0.8087926263976828,1.3058500984015236,1.3081216824830693
Олёкминск,2023,907.0,2023-05-14,907.0,2023-05-14,101.0,806.0,110.28571428571429,-35.285714285714285,2023-05-10,4,50,19,602.6999999999998,700.0,0.21833191456893203,0.33089877160470993,-0.07936811189248046,0.6424763967479371,0.9688565246204851,0.21098736814243055
Покровск,2008,803.0,2008-05-19,803.0,2008-05-19,145.0,658.0,73.42857142857143,-30.428571428571427,2008-05-13,6,52,28,565.5,631.0,-0.23780977638285067,-0.10180000106389574,-0.7087849499364662,-0.34599476091465675,1.2382512382518573,0.9501849339281494
Покровск,2009,799.0,2009-05-15,799.0,2009-05-15,119.0,680.0,85.85714285714286,-54.57142857142857,2009-05-04,11,47,38,565.5,631.0,-0.2750220641298004,-0.1368279584192147,-0.5041153007341396,0.40303277748845695,0.9207509207513811,1.7631773907650685
