period,year,month,station_id,station_name,tmean_month,tmean_z,precip_month,precip_z,winter_thaw_days,winter_thaw_z,max_daily_precip,signals,triggered_parameters,risk_points,severity
2020-11,2020,11,24343,Жиганск,-20.33,2.95,24.2,-0.33,0,,4.1,аномально тёплый месяц,tmean_z ≥ 2,1,умеренная
2020-11,2020,11,24944,Олёкминск,-13.07,2.04,29.4,1.1,0,-0.48,3.5,аномально тёплый месяц,tmean_z ≥ 2,1,умеренная
2020-11,2020,11,24959,Якутск,-19.72,2.28,19.5,0.45,0,-0.26,2.7,аномально тёплый месяц,tmean_z ≥ 2,1,умеренная
2020-12,2020,12,24959,Якутск,-38.48,-0.8,14.5,1.63,0,,3.0,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2021-02,2021,2,30230,Киренск,-24.55,-0.98,31.7,2.44,0,-0.26,7.2,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2021-04,2021,4,24266,Верхоянск,-11.87,-1.13,10.7,2.58,3,-0.35,2.9,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2021-04,2021,4,24959,Якутск,-6.18,-1.82,24.0,2.24,5,-1.49,7.9,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2021-05,2021,5,24688,Оймякон,4.84,0.24,37.4,2.18,0,,16.2,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2021-06,2021,6,24266,Верхоянск,17.46,1.37,74.8,2.53,0,,26.1,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2021-09,2021,9,24944,Олёкминск,7.4,0.74,79.2,2.23,0,,20.5,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2021-12,2021,12,24944,Олёкминск,-30.33,0.17,30.3,1.84,0,,9.7,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2022-04,2022,4,30230,Киренск,0.63,0.21,35.6,3.12,16,-0.21,7.4,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,экстремальная
2022-04,2022,4,24944,Олёкминск,-2.28,0.03,24.7,1.8,6,-1.08,8.2,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2022-05,2022,5,30230,Киренск,10.1,2.06,29.5,-0.48,0,,7.9,аномально тёплый месяц,tmean_z ≥ 2,1,умеренная
2022-07,2022,7,24266,Верхоянск,17.51,0.57,51.1,1.61,0,,13.9,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
